date,time,open,high,low,close,volume
2020-03-05,14:25:00,28430,28475,28430,28475,127788
2020-03-05,14:20:00,28430,28435,28395,28430,48982
2020-03-05,14:15:00,28425,28435,28400,28430,35953
2020-03-05,14:10:00,28400,28430,28390,28425,42754
2020-03-05,14:05:00,28405,28410,28380,28400,22445
2020-03-05,14:00:00,28335,28410,28335,28400,57750
2020-03-05,13:55:00,28330,28350,28325,28340,27661
2020-03-05,13:50:00,28320,28350,28295,28335,47914
2020-03-05,13:45:00,28315,28330,28305,28325,31027
2020-03-05,13:40:00,28330,28345,28300,28325,40415
2020-03-05,13:35:00,28325,28355,28320,28325,9671
2020-03-05,13:30:00,28320,28340,28320,28325,15453
2020-03-05,13:25:00,28310,28335,28310,28320,18820
2020-03-05,13:20:00,28300,28315,28290,28310,15739
2020-03-05,13:15:00,28305,28310,28280,28295,11187
2020-03-05,13:10:00,28330,28335,28300,28310,19569
2020-03-05,13:05:00,28325,28335,28310,28335,9448
2020-03-05,13:00:00,28285,28330,28285,28325,16990
2020-03-05,12:55:00,28300,28310,28290,28290,11765
2020-03-05,12:50:00,28280,28310,28280,28295,11857
2020-03-05,12:45:00,28285,28290,28270,28270,11811
2020-03-05,12:40:00,28305,28330,28280,28290,32573
2020-03-05,12:35:00,28320,28320,28285,28305,28624
2020-03-05,12:30:00,28330,28345,28315,28325,12186
2020-03-05,12:25:00,28335,28345,28315,28335,25264
2020-03-05,12:20:00,28310,28355,28300,28325,46677
2020-03-05,12:15:00,28305,28325,28305,28315,14134
2020-03-05,12:10:00,28315,28315,28290,28300,20403
2020-03-05,12:05:00,28320,28335,28310,28315,24010
2020-03-05,12:00:00,28315,28340,28300,28315,14559
2020-03-05,11:55:00,28300,28315,28275,28315,15004
2020-03-05,11:50:00,28310,28330,28295,28300,21426
2020-03-05,11:45:00,28255,28310,28250,28310,41074
2020-03-05,11:40:00,28240,28255,28220,28250,18942
2020-03-05,11:35:00,28270,28275,28230,28245,16834
2020-03-05,11:30:00,28255,28270,28230,28270,20699
2020-03-05,11:25:00,28215,28260,28215,28255,35407
2020-03-05,11:20:00,28200,28225,28185,28215,41075
2020-03-05,11:15:00,28200,28210,28155,28200,43603
2020-03-05,11:10:00,28185,28225,28185,28200,25830
2020-03-05,11:05:00,28290,28295,28180,28185,90667
2020-03-05,11:00:00,28320,28320,28275,28290,14668
2020-03-05,10:55:00,28320,28330,28295,28310,19249
2020-03-05,10:50:00,28295,28335,28270,28320,61974
2020-03-05,10:45:00,28335,28345,28290,28300,70561
2020-03-05,10:40:00,28380,28385,28335,28340,50224
2020-03-05,10:35:00,28305,28385,28300,28380,36591
2020-03-05,10:30:00,28300,28315,28265,28295,22426
2020-03-05,10:25:00,28280,28305,28250,28295,13026
2020-03-05,10:20:00,28285,28310,28280,28290,30800
2020-03-05,10:15:00,28265,28290,28245,28285,65211
2020-03-05,10:10:00,28330,28345,28260,28260,59787
2020-03-05,10:05:00,28370,28375,28315,28330,94590
2020-03-05,10:00:00,28365,28400,28360,28365,59201
2020-03-05,9:55:00,28330,28365,28320,28360,72310
2020-03-05,9:50:00,28385,28385,28305,28330,93389
2020-03-05,9:45:00,28405,28415,28350,28380,60484
2020-03-05,9:40:00,28445,28455,28400,28405,83583
2020-03-05,9:35:00,28375,28445,28365,28440,96833
2020-03-05,9:30:00,28360,28375,28300,28365,87598
